surface,nb_pieces,nb_toilettes,logement_neuf,balcon,cave,ascenseur,bain,eau,places_parking,annonce_exclusive,dpeL,exposition,chauffage_energie,chauffage_systeme,chauffage_mode
1.1074610007341372,0.1491814721145894,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.4644643229840677,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
0.5988969254135416,-0.3569715749989764,1.6718083717582923,,,,Non,,,,,,Est,Fioul,Autre,Plancher chauffant
-0.9267953005482458,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.7418629095225745,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.6185746488387938,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.7726849746935197,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.8497401376208827,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.4336422578131225,-1.3692776692261082,-1.2684824560185162,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.8959732353773006,-0.8631246221125423,-1.2684824560185162,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
0.922528609708466,1.161487566341721,3.1419537856466966,,,,Non,,,,,,Sud,Fioul,Autre,Plancher chauffant
0.6143079579990142,0.6553345192281552,1.6718083717582923,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.4644643229840677,-0.3569715749989764,-1.2684824560185162,,,,Non,,,,,,Est,Fioul,Autre,Plancher chauffant
-0.4336422578131225,0.1491814721145894,0.2016629578698881,,,,Non,,,,,,Autre,Autre,Autre,Plancher chauffant
-0.3874091600567048,-0.8631246221125423,-1.2684824560185162,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
0.922528609708466,0.1491814721145894,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.6956298117661568,-0.3569715749989764,-1.2684824560185162,,,,Non,,,,,,Autre,Gaz,Autre,Plancher chauffant
-0.1408326386891432,0.1491814721145894,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.649396714009739,-0.8631246221125423,-1.2684824560185162,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.2332988342019787,0.1491814721145894,0.2016629578698881,,,,Non,,,,,,Sud,Fioul,Autre,Plancher chauffant
-1.034672528646554,-0.8631246221125423,-1.2684824560185162,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
0.2290321433621991,0.6553345192281552,1.6718083717582923,,,,Non,,,,,,Sud,Gaz,Autre,Plancher chauffant
1.693080238982096,2.173793660568853,1.6718083717582923,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.6956298117661568,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.3103539971293418,1.161487566341721,0.2016629578698881,,,,Non,,,,,,Nord,Fioul,Autre,Plancher chauffant
